Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Prakrida FC,Vedika,Corner,6,39,1,91,-,-
Prakrida FC,Shraddha,Save,8,3,99,37,-,-
Prakrida FC,Shraddha,Goal Throw,8,6,91,30,-,-
Prakrida FC,Ishveena,Corner,16,34,100,1,-,-
SBFC,Nithya,Successful Pass,0,25,50,49,-,-
SBFC,16,Successful Pass,0,26,50,25,-,-
SBFC,Nithya,Successful Pass,0,27,48,43,-,-
Prakrida FC,Devika,Successful DA,0,30,65,59,-,-
SBFC,16,Successful Pass,0,33,15,80,-,-
SBFC,Judith,Successful Pass,0,39,83,88,-,-
Prakrida FC,Shraddha,Save,0,42,89,35,-,-
Prakrida FC,Shraddha,Goal Throw,1,4,88,49,-,-
SBFC,16,Unsuccessful DA,1,7,13,46,-,-
SBFC,GK,Goal Throw,1,15,13,45,-,-
SBFC,9,Unsuccessful Pass,1,17,52,33,-,-
SBFC,16,Successful DA,1,19,33,33,-,-
Prakrida FC,Shraddha,Goal Kick,1,38,93,63,-,-
SBFC,GK,Foul,1,55,14,49,-,-
SBFC,Judith,Goal Kick,2,5,13,50,-,-
Prakrida FC,Devika,Successful DA,2,10,90,22,-,-
Prakrida FC,Shraddha,Successful DA,2,24,94,48,-,-
Prakrida FC,Devika,Unsuccessful Pass,2,28,61,51,-,-
SBFC,16,Unsuccessful Pass,2,39,34,92,-,-
Prakrida FC,Devika,Unsuccessful Pass,2,41,65,66,-,-
SBFC,9,Tackle,2,41,57,61,-,-
Prakrida FC,Shraddha,Unsuccessful DA,2,44,91,40,-,-
SBFC,Nithya,Goal,2,45,95,37,-,-
SBFC,Nithya,Shot On Target,2,44,94,37,-,-
Prakrida FC,Ishveena,Successful Pass,3,6,50,50,-,-
Prakrida FC,Devika,Unsuccessful Pass,3,7,70,50,-,-
SBFC,Nithya,Tackle,3,7,65,47,-,-
Prakrida FC,Shraddha,Goal Kick,3,17,93,47,-,-
Prakrida FC,Shraddha,Shot On Target,3,18,93,51,-,-
SBFC,GK,Save,3,19,0,52,-,-
Prakrida FC,Sanju,Corner,3,30,0,91,-,-
Prakrida FC,Sanju,Successful Pass,3,30,1,91,-,-
Prakrida FC,Amara,Successful Pass,3,31,20,87,-,-
Prakrida FC,Sanju,Successful Pass,3,26,18,84,-,-
Prakrida FC,Sanju,Successful Pass,3,31,8,89,-,-
Prakrida FC,Ishveena,Unsuccessful Pass,3,33,13,67,-,-
SBFC,Nithya,Unsuccessful Pass,3,36,42,68,-,-
Prakrida FC,Amara,Tackle,3,37,63,51,-,-
SBFC,16,Unsuccessful Pass,3,39,66,45,-,-
Prakrida FC,Devika,Unsuccessful Pass,3,49,55,92,-,-
SBFC,Judith,Unsuccessful Pass,4,2,15,92,-,-
Prakrida FC,Devika,Successful DA,4,4,69,82,-,-
Prakrida FC,Devika,Successful Pass,4,4,69,84,-,-
Prakrida FC,Sanju,Successful Pass,4,7,35,40,-,-
SBFC,Judith,Tackle,4,11,31,90,-,-
Prakrida FC,Devika,Successful Pass,4,21,35,91,-,-
Prakrida FC,Sanju,Unsuccessful Pass,4,22,33,47,-,-
SBFC,Judith,Successful Pass,4,41,15,92,-,-
SBFC,Nithya,Shot On Target,4,45,80,61,-,-
Prakrida FC,Shraddha,Save,4,45,97,62,-,-
Prakrida FC,Shraddha,Goal Throw,4,50,93,49,-,-
SBFC,16,Successful Pass,4,53,10,49,-,-
SBFC,Judith,Successful Pass,4,56,30,56,-,-
SBFC,9,Successful Pass,4,57,57,11,-,-
SBFC,Nithya,Shot On Target,4,59,83,26,-,-
SBFC,Nithya,Unsuccessful Pass,5,1,80,2,-,-
Prakrida FC,Sanju,Tackle,5,2,70,3,-,-
Prakrida FC,Sanju,Unsuccessful Pass,5,3,66,19,-,-
SBFC,Judith,Foul,5,18,25,91,-,-
Prakrida FC,Vedika,Unsuccessful Pass,5,28,33,91,-,-
SBFC,Judith,Successful DA,5,29,25,81,-,-
Prakrida FC,Amara,Successful Pass,5,35,82,24,-,-
Prakrida FC,Sanju,Shot Off Target,5,41,34,2,-,-
SBFC,Judith,Goal Kick,5,55,14,50,-,-
Prakrida FC,Vedika,Successful DA,5,57,84,49,-,-
SBFC,9,Tackle,5,59,65,16,-,-
Prakrida FC,Amara,Freekick,6,27,71,2,-,-
SBFC,16,Successful DA,6,29,10,37,-,-
Prakrida FC,Vedika,Successful Pass,6,39,1,92,-,-
Prakrida FC,Sanju,Successful Pass,6,40,10,35,-,-
Prakrida FC,Amara,Shot Off Target,6,43,38,23,-,-
SBFC,Judith,Goal Kick,6,59,15,49,-,-
Prakrida FC,Shraddha,Goal Kick,7,12,90,34,-,-
SBFC,16,Successful Pass,7,24,15,91,-,-
Prakrida FC,Vedika,Successful DA,7,26,75,77,-,-
SBFC,Nithya,Corner,7,45,99,91,-,-
SBFC,Judith,Shot Off Target,7,46,70,61,-,-
Prakrida FC,Amara,Successful Pass,7,56,81,1,-,-
Prakrida FC,Vedika,Unsuccessful Pass,7,58,80,48,-,-
SBFC,Judith,Shot On Target,8,2,69,47,-,-
Prakrida FC,Sanju,Unsuccessful Pass,8,9,8,19,-,-
SBFC,16,Successful DA,8,10,7,20,-,-
Prakrida FC,Amara,Unsuccessful Pass,8,22,48,0,-,-
SBFC,16,Goal Kick,8,38,15,46,-,-
SBFC,16,Successful Pass,8,38,15,47,-,-
Prakrida FC,Vedika,Unsuccessful DA,8,41,82,32,-,-
SBFC,9,Shot On Target,8,43,83,20,-,-
SBFC,9,Goal,8,43,84,18,-,-
Prakrida FC,Sanju,Successful Pass,9,1,49,49,-,-
Prakrida FC,Amara,Shot Off Target,9,2,69,45,-,-
SBFC,Nithya,Tackle,9,2,57,24,-,-
Prakrida FC,Amara,Unsuccessful Pass,9,14,63,0,-,-
SBFC,9,Shot Off Target,9,17,38,6,-,-
Prakrida FC,Shraddha,Goal Kick,9,27,89,50,-,-
Prakrida FC,Shraddha,Successful Pass,9,27,87,58,-,-
Prakrida FC,Amara,Unsuccessful Pass,9,29,82,15,-,-
SBFC,9,Goal Kick,9,43,14,49,-,-
SBFC,9,Successful Pass,9,43,15,49,-,-
SBFC,Judith,Successful Pass,9,47,65,85,-,-
SBFC,16,Shot On Target,9,48,88,28,-,-
Prakrida FC,Shraddha,Successful DA,9,48,89,36,-,-
Prakrida FC,Shraddha,Successful DA,4,59,90,35,-,-
SBFC,9,Successful Pass,10,9,58,1,-,-
SBFC,16,Shot Off Target,10,10,33,13,-,-
Prakrida FC,Shraddha,Goal Kick,10,21,86,46,-,-
Prakrida FC,Shraddha,Unsuccessful Pass,10,21,86,47,-,-
